"NAME";"ID";"LATITUDE";"LONGITUDE"
"K9400-01";28315;50.8334999084;4.0255064964
"K9400-01";106841;50.831287384;4.0215682983
"K9400-01";231583;50.8342590332;4.0119404793
"K9400-01";231582;50.8352966309;4.0172834396
"K9400-01";231576;50.8345451355;4.0123157501
"K9400-01";11169;50.835849762;4.0230498314
"K9400-01";231579;50.8346252441;4.0196475983
"K9400-01";144800;50.8346481323;4.0122094154
"K9400-01";231584;50.8370323181;4.022670269
"K9400-01";231577;50.8334655762;4.0192222595
"K9400-01";16463;50.8346252441;4.0196475983
"K9400-01";112831;50.8335456848;4.0233416557
"K9400-01";110020;50.8365821838;4.0203876495
"K9400-01";231580;50.837387085;4.0228796005
"K9400-01";74366;50.8357391357;4.0216870308
"K9400-01";92584;50.8271141052;4.0172381401
"K9400-01";241600;50.832824707;4.015232563
"K9400-01";22764;50.8372039795;4.0187077522
"K9400-01";189934;50.8320503235;4.0185241699
"K9400-01";47996;50.8318023682;4.0231218338
"K9400-01";93389;50.8343467712;4.0152626038
"K9400-01";154247;50.8337554932;4.0207834244
"K9400-01";231552;50.8320922852;4.022755146
"K9400-01";45630;50.8379631042;4.0225772858
"K9400-01";185291;50.8299102783;4.0228800774
"K9400-01";231563;50.8335266113;4.0194644928
"K9400-01";46043;50.8340530396;4.0121645927
"K9400-01";184263;50.8346252441;4.0196475983
"K9400-01";84147;50.8365783691;4.0197534561
"K9400-01";244343;50.8321876526;4.0231437683
"K9400-01";244334;50.831287384;4.0215682983
"K9400-01";260628;50.8316650391;4.0232849121
"K9400-01";150153;50.8342056274;4.013194561
"K9400-01";260572;50.8346481323;4.0154194832
"K9400-01";260574;50.8308982849;4.0212240219
"K9400-01";260577;50.8327064514;4.019803524
"K9400-01";260578;50.8353424072;4.0192689896
"K9400-01";168088;50.8357620239;4.0201306343
"K9400-01";168087;50.8357620239;4.0201306343
"K9400-01";104033;50.8346252441;4.0196475983
"K9400-01";95077;50.8314056396;4.0233011246
"K9400-01";95252;50.8290519714;4.0240545273
"K9400-01";87206;50.8346366882;4.0137071609
"K9400-01";10159;50.8328094482;4.0152406693
"K9400-01";74489;50.8271026611;4.0171709061
"K9400-01";231556;50.8347206116;4.015900135
"K9400-01";255188;50.8368301392;4.0218405724
"K9400-01";65605;50.8356018066;4.0188765526
"K9400-01";64391;50.8335266113;4.0194644928
"K9400-01";27457;50.8364524841;4.0153832436
"K9400-01";110379;50.831287384;4.0215682983
"K9400-01";231581;50.8332481384;4.0123329163
"K9400-01";231587;50.8345718384;4.02242136
"K9400-01";19809;50.8352966309;4.0130286217
"K9400-01";63266;50.8346710205;4.0158190727
"K9400-01";19458;50.8346252441;4.0196475983
"K9400-01";92485;50.8335151672;4.0246372223
"K9400-01";30450;50.8368682861;4.0180344582
"K9400-01";244328;50.831287384;4.0215682983
"K9400-01";260592;50.8355827332;4.0239048004
